topic,video_count,avg_views,avg_likes,avg_comments,avg_engagement
"post, setup, ai, rabbit, code",3,29252.666666666668,1595.6666666666667,186.0,0.06572566885327778
"environment, puzzles, complete, optimization, problem",5,42970.6,1909.0,63.4,0.04955799672144761
"coding, programming, code, upgrade, pro",15,647860.7333333333,25888.4,1192.4,0.047208968382555026
"function, python, api, need, web",3,30572.666666666668,1210.3333333333333,60.333333333333336,0.044983821472843764
"demo, course, mcp, freecodecamp, git",11,102065.45454545454,2858.0,148.45454545454547,0.043274434060357456
