topic,video_count,avg_views,avg_engagement
"post, setup, ai, rabbit, code",3,29252.666666666668,0.0657256688532777
"coding, programming, code, upgrade, pro",15,647860.7333333333,0.04720896838255497
"function, python, api, need, web",3,30572.666666666668,0.044983821472843695
